sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
0.65,2.9923,32.149,1025.4929,4.98,3.0245,32.1539,1025.4941
0.84,2.9949,32.148,1025.4919,5.24,3.0224,32.1548,1025.4949
1.11,2.996,32.1484,1025.4922,5.48,3.0392,32.1473,1025.4876
1.37,2.996,32.1489,1025.4925,5.73,3.0081,32.1439,1025.4875
1.64,2.999,32.1498,1025.493,5.98,2.9974,32.1541,1025.4965
1.92,3.001,32.1482,1025.4916,6.23,2.9894,32.165,1025.5058
2.2,2.9998,32.1493,1025.4925,6.49,3.027,32.1502,1025.491
2.5,3.0,32.1493,1025.4925,6.76,3.0176,32.1519,1025.4931
2.83,2.997,32.1512,1025.4942,7.04,3.0163,32.1447,1025.4875
3.13,2.9958,32.1445,1025.4891,7.33,3.0123,32.1427,1025.4862
3.48,2.9826,32.1508,1025.4952,7.62,3.0023,32.1505,1025.4932
3.81,2.9784,32.1513,1025.4959,7.9,3.0028,32.1519,1025.4943
4.17,2.9718,32.1513,1025.4964,8.17,2.9855,32.1593,1025.5017
4.53,2.9689,32.1488,1025.4947,8.44,2.9916,32.1606,1025.5022
4.9,2.9568,32.1548,1025.5005,8.72,3.0028,32.1431,1025.4873
5.27,2.9548,32.1568,1025.5022,8.99,2.994,32.1499,1025.4935
5.64,2.9578,32.1562,1025.5015,9.27,2.9966,32.1487,1025.4923
6.0,2.9568,32.1547,1025.5004,9.58,2.999,32.1424,1025.4871
6.35,2.9552,32.1552,1025.5009,9.9,2.9945,32.141,1025.4864
6.7,2.9574,32.1612,1025.5055,10.22,2.9752,32.1638,1025.5061
7.04,2.9622,32.1488,1025.4952,10.52,2.9675,32.1287,1025.4789
7.41,2.9542,32.1533,1025.4995,10.83,2.9447,32.1573,1025.5035
7.76,2.9522,32.1541,1025.5003,11.14,2.9354,32.1266,1025.4799
8.11,2.9508,32.1513,1025.4982,11.43,2.9001,32.1513,1025.5024
8.46,2.9471,32.1555,1025.5018,11.73,2.9063,32.1471,1025.4986
8.81,2.9428,32.1535,1025.5006,12.06,2.9017,32.1449,1025.4972
9.16,2.9488,32.157,1025.5029,12.37,2.9029,32.1453,1025.4974
9.5,2.936,32.1457,1025.495,12.68,2.8956,32.1466,1025.4991
9.84,2.9261,32.1549,1025.5031,13.0,2.8935,32.1487,1025.5009
10.17,2.9297,32.1604,1025.5072,13.33,2.8934,32.1486,1025.5008
10.49,2.934,32.152,1025.5002,13.65,2.8935,32.1471,1025.4996
10.8,2.9234,32.1472,1025.4972,13.98,2.8932,32.1515,1025.5031
11.14,2.9052,32.1506,1025.5014,14.3,2.9019,32.1454,1025.4976
11.48,2.903,32.1607,1025.5096,14.62,2.8931,32.1461,1025.4989
