,sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
90,-1.289999932050705,7.969399929046631,,,7.53000020980835,2.9337000846862793,32.152181170860956,1025.5003151607289
91,-1.2800000607967377,7.990300178527832,,,8.309999704360962,2.9263999462127686,32.15492634179622,1025.5030994805331
92,-1.2700000405311584,8.008999824523926,,,8.980000019073486,2.9261999130249023,32.155013518759844,1025.503185252752
93,-1.2999999523162842,8.029000282287598,,,9.509999752044678,2.928100109100342,32.15563004114997,1025.5035166556702
94,-1.2999999523162842,8.044300079345703,,,9.929999709129333,2.927299976348877,32.15523386622402,1025.503268758377
95,-1.2999999523162842,8.055299758911133,,,10.230000019073486,2.9284000396728516,32.15397475850243,1025.5021784315431
96,-1.2999999523162842,8.06410026550293,4.357117353351888e-19,999.8730887830009,10.410000085830688,2.9319000244140625,32.153788137356806,1025.5017396796213
97,-1.2999999523162842,8.070799827575684,,,10.479999780654907,2.930000066757202,32.153337130541985,1025.5015396644435
98,-1.2700000405311584,8.090499877929688,,,10.449999570846558,2.927799940109253,32.15458071202561,1025.5027090279432
99,-1.289999932050705,8.115500450134277,,,10.31999945640564,2.926500082015991,32.15400096176635,1025.502356956285
100,-1.2999999523162842,8.140299797058105,,,10.080000162124634,2.926800012588501,32.1540688061047,1025.5023858877519
101,-1.289999932050705,8.162500381469727,,,9.750000238418579,2.926100015640259,32.15397151309166,1025.5023667990286
102,-1.289999932050705,8.185700416564941,,,9.319999814033508,2.928800106048584,32.153692364857186,1025.5019211584267
103,-1.2999999523162842,8.291600227355957,,,8.769999742507935,2.928800106048584,32.15313152029945,1025.5014761789564
104,-1.1400000005960464,3.7495999336242676,,,8.109999895095825,2.926800012588501,32.15402283898811,1025.5023494167192
105,-1.1699999868869781,3.7490999698638916,,,7.300000190734863,2.9291999340057373,32.151809918606524,1025.500394408709
106,-1.1500000208616257,3.7483999729156494,,,6.3999998569488525,2.930999994277954,32.16413133816791,1025.5100207760129
107,-1.159999966621399,3.746799945831299,8.713796044075878e-19,999.9745690926432,5.429999828338623,2.956899881362915,32.14556350924194,1025.4931341303304
108,-1.159999966621399,3.7451000213623047,,,4.4200000166893005,2.9711999893188477,32.14738554155603,1025.4933861688014
109,-1.1800000071525574,3.7407000064849854,,,3.400000035762787,2.974299907684326,32.145074122329376,1025.4912935440764
110,-1.1500000208616257,3.736799955368042,,,2.329999953508377,2.9788999557495117,32.1460353530035,1025.4916714624003
111,-1.159999966621399,3.7372000217437744,,,1.2399999797344208,2.9832000732421875,32.14511425852239,1025.490581048547
112,-1.1900000274181366,3.7358999252319336,,,0.14999999664723873,2.9999001026153564,31.98500592147269,1025.3621857956446
113,-1.1800000071525574,3.7325000762939453,,,-0.10999999940395355,2.9818999767303467,32.14980805784928,1025.4944131909874
114,-1.159999966621399,3.7283999919891357,,,-0.0800000037997961,3.0058999061584473,32.1458798358722,1025.4892854076736
115,-1.159999966621399,3.7262001037597656,,,-0.14000000432133675,3.010200023651123,32.16908587768935,1025.5073304209052
116,-1.1500000208616257,3.724900007247925,,,-0.10999999940395355,3.012200117111206,32.1502991953393,1025.4922613747315
117,-1.1800000071525574,3.722899913787842,,,-0.12000000104308128,3.0062999725341797,32.151213561985436,1025.4934823945161
118,-1.1400000005960464,3.72160005569458,0.0,999.9743957747354,-0.1600000075995922,3.0058000087738037,32.148453595928075,1025.4913352435829
119,-1.1699999868869781,3.717600107192993,,,-0.1600000075995922,3.0062999725341797,32.14989881607565,1025.4924395697888
120,-1.159999966621399,3.7116000652313232,,,-0.09999999776482582,3.007499933242798,32.14732949450625,1025.4903008640852
121,-1.159999966621399,3.7079999446868896,,,-0.12000000104308128,3.0085999965667725,32.14624144470331,1025.4893454493229
122,-1.159999966621399,3.7046000957489014,0.0,999.9742736282703,-0.1600000075995922,3.008500099182129,32.148306943498916,1025.4909921307408
123,-1.1699999868869781,3.703399896621704,,,-0.10999999940395355,3.0085999965667725,32.14854571875664,1025.4911731272935
124,-1.159999966621399,3.703900098800659,,,-0.06000000052154064,3.021399974822998,32.16295754531437,1025.5015272130165
